year,level,competition,athlete,place,note
2026,intl,Europe Master Equipé - EPF,Vanbreusegem Rudy,,
2026,nat,France Junior – FFFORCE,Mathieu,,
2026,nat,Championnat National Belge Junior,Scuderi Flavio,Champion,-74 + Record national Squat & Total + Selection Europe
2026,nat,Coupe de France Universitaire,Nowaczyk Neo,Vice-Champion,-105
2026,nat,France DC - FFForce,Lisa Astruc,6e place,-57
2026,nat,France DC - FFForce,Layadi Samy,5e place,-83
2026,nat,France DC - FFForce,Lucas Pledy,Vice-Champion,-66 + Minima Europe
2026,nat,France DC - FFForce,Mourrain Virgile,Vice-Champion,-120
2026,nat,France DC - FFForce,Cassandra Fournier,Vice-Championne,-69
2026,intl,Coupe d'Europe Universitaire,Plennevaux Simon,4e place,-93
2025,intl,Championnat du Monde Master Equipé - IPF,Vanbreusegem Rudy,3e place,-83
2025,intl,Coupe du Monde Universitaire,Plennevaux Simon,9e place,-93
2025,nat,France Open – FFFORCE,Marina Soyer - Bardi,7e place,-63
2025,intl,Championnat d'Europe Junior - EPF,Scuderi Flavio,13e place,-74
2025,nat,Championnat national Autrichien,Raphaela Jungmann,Championne,-69 + Record national Deadlift
2025,nat,Championnat de France Master - FFForce,Briganti Florent,3e place M1,-105
2025,nat,Championnat de France Master - FFForce,Plastre Adrien,Vice-Champion M1,-120
2025,intl,Championnat d'Europe Master Equipé - EPF,Vanbreusegem Rudy,3e place M1,-83
2025,nat,Championnat National Belge Junior,Plennevaux Simon,3e place,-93
2025,nat,Coupe de France Universitaire,Nowaczyk Neo,Vice-Champion,-105
2025,nat,France DC - FFForce,Mourrain Virgile,Vice-Champion,-120
2025,nat,France DC - FFForce,De Souza Nicolas,,-74
2025,nat,France DC - FFForce,Mabire Florian,5e place,-66
2024,nat,France Open – FFFORCE,Pauline Le Bras,Vice-Championne,-69
2024,nat,France Open – FFFORCE,Marina Soyer - Bardi,4e place,-63
2024,nat,France Open – FFFORCE,Lebellec Carole,13e place,-57
2024,nat,France Open – FFFORCE,Maxime Labardin,18e place,-105
2024,nat,France Open – FFFORCE,Theo Brillanti ,16e place,-105
2024,nat,France DC – FFFORCE,Julie Bredolese,5e place,Open -63
2024,nat,France DC – FFFORCE,Virgile Mourrain,5e place,Open -120
2024,nat,France Junior – FFFORCE,Victor Violette,Vice-Champion,-93 SubJr + minima monde + podium indice
2024,nat,France Junior – FFFORCE,Mani Messoussa,5e place,-93 Jr
2024,nat,France Junior – FFFORCE,Clay André,Hors match,-83 SubJr
2024,nat,France Junior – FFFORCE,Matéo Tuquet,Compétiteur,-83 Jr
2024,nat,Championnat Autrichien – IPF,Raphaela Jungmann,Championne,-69 + Records natio. Squat Bench & Total + sélection Autriche
2024,intl,Coupe d'Europe Universitaire – EPF/IPF,Cassandra Fournier,Vice-Championne,-76
2024,intl,Championnat d'Europe Open – EPF/IPF,Valentin Fruchard,Vice-Champion d'Europe,-66
2024,intl,Championnat d'Europe Open – EPF/IPF,Joël Vanhevel,8e place,-105
2024,intl,Championnat d'Europe Open – EPF/IPF,Raphaela Jungmann,6e place,-69
2024,intl,Championnat du Monde Open – IPF,Joël Vanhevel,13e place,-105
2023,nat,France Open – FFFORCE,Pauline Le Bras,Vice-Championne,-69
2023,nat,France Open – FFFORCE,Valentin Fruchard,Vice-Champion,-66
2023,nat,France Open – FFFORCE,Marina Soyer Bardi,4e place,-63
2023,nat,France Open – FFFORCE,Cassandra Fournier,5e place,-76
2023,nat,France Open – FFFORCE,Marion Quemin,8e place,-69
2023,nat,France Open – FFFORCE,Théo Brillanti,9e place,-105
2023,nat,France DC – FFFORCE,Cassandra Fournier,Vice-Championne,-76
2023,nat,France DC – FFFORCE,Reynold Lucien,3e place,+120
2023,nat,France DC – FFFORCE,Virgile Mourrain,Vice-Champion,-120
2023,nat,Championnats Belge & Autrichien – IPF,Joën Vanhevel,Vice-Champion Belge,-105
2023,nat,Championnats Belge & Autrichien – IPF,Raphaela Jungmann,Championne Autriche,3 mouvements + DC
2023,intl,Coupe des Pyrénées & Coupe de l'Ouest – EPF/IPF,Marina Soyer-Bardi,2e place à l'indice,Coupe des Pyrénées
2023,intl,Coupe des Pyrénées & Coupe de l'Ouest – EPF/IPF,Joën Vanhevel,Vice-Champion,Coupe de l'Ouest -105
2023,intl,Championnat d'Europe Open – EPF/IPF,Pauline Le Bras,5e place,-69
2022,nat,France Open – FFFORCE,Pauline Le Bras,Vice-Championne,-69 + sélection Europe
2022,nat,France Open – FFFORCE,Valentin Fruchard,Vice-Champion,-66 + Collectif France
2022,nat,France Open – FFFORCE,Julie Franch Guerra,3e place,-84 + Record de France DC
2022,nat,France Open – FFFORCE,Audrey Ancelin,4e place,-63
2022,nat,France Open – FFFORCE,Clément Bret,4e place,-105
2022,nat,France DC – FFFORCE,Julie Franch Guerra,Championne,-84 + 1ère indice + Record de France + sélection Monde
2022,nat,France DC – FFFORCE,Meriem Boudersa,3e place,-69
2022,nat,France DC – FFFORCE,Virgile Mourrain,3e place,-120
2022,intl,Championnat d'Europe DC – EPF/IPF,Julie Franch Guerra,Vice-Championne d'Europe,-84
2022,intl,Coupe d'Europe de l'Ouest – EPF/IPF,Pauline Le Bras,Championne,-69 + Minima Monde + Records Squat & Total
2022,intl,Arnold Classic & Championnat d'Europe – EPF/IPF,Valentin Fruchard,Vice-Champion d'Europe,Open -66 + Médaille Argent Squat + Médaille Argent Bench
2022,intl,Arnold Classic & Championnat d'Europe – EPF/IPF,Joël Vanhevel,16e place,Open -105 + Minima Monde (Belgique)
2021,nat,France Open – FFFORCE,Pauline Le Bras,3e place,-72 + sélection Europe
2021,nat,France Open – FFFORCE,Julie Franch-Guerra,3e place,-84 + Record de France DC
2021,nat,France Open – FFFORCE,Marion Quemin,5e place,-72
2021,nat,France Open – FFFORCE,Audrey Ancelin,6e place,-57
2021,nat,France Junior – FFFORCE,Marina Soyer-Bardi,Vice-Championne,-57 + Record France Deadlift + Minima Europe
2021,nat,France Junior – FFFORCE,Valentin Fruchard,1ère place hors-match,-66 + sélection Europe
2021,nat,France Junior – FFFORCE,Andrea Bonetto,Vice-Champion,-74 + sélection Monde
2021,nat,France DC & Championnats Belge – FFFORCE / IPF,Julie Franch Guerra,Championne,-84 + Record de France + sélection Europe
2021,nat,France DC & Championnats Belge – FFFORCE / IPF,Théo Brillanti,Vice-Champion,-105
2021,nat,France DC & Championnats Belge – FFFORCE / IPF,Florian Lory,3e place Belge,-83 Open
2021,nat,France DC & Championnats Belge – FFFORCE / IPF,Maxime Godfroid,3e place Belge,-74 Open
2021,intl,Coupe d'Europe de l'Ouest – EPF/IPF,Pauline Le Bras,Championne,-69 + Record d'Europe au Squat
2021,intl,Championnat d'Europe – EPF/IPF,Pauline Le Bras,5e place,-69
2021,intl,Championnat d'Europe – EPF/IPF,Valentin Fruchard,5e place,-66
2021,intl,Championnat d'Europe – EPF/IPF,Florian Lory,15e place,-83
2019,intl ,Coupe du Monde Universitaire,Sofyann Ait - Naceur,6e place,-93
2019,intl,Coupe du Monde Universitaire,Nicolas Ame,,-59
2019,intl,Coupe du Monde Universitaire,Pollastri Victoria,8e place,-57
2019,nat,France Junior – FFFORCE,Theo Brillanti ,Vice-Champion,-105
2019,nat,France Open – FFFORCE,Pauline Le Bras,Vice-Championne,-72 + Record de France au Squat
2019,nat,France Open – FFFORCE,Barsanti Xavier,,-83
2019,nat,France Open – FFFORCE,Sofyann Ait - Naceur,4e place,-93